"26,0,1,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"34,0,3,-1",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,-2.0
"160,0,0,10",3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"349,0,1,10",3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
"314,0,1,10",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"173,0,1,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"333,0,0,-1",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
"260,0,0,-1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"49,0,2,-1",5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,6.0
"20,0,1,10",4.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
"360,0,0,-1",8.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0
"325,0,0,-1",-4.0,-4.0,-4.0,2.0,2.0,2.0,-4.0,-4.0,-4.0
"245,0,0,-1",2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,1.0
"218,0,0,-1",2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,1.0
"193,0,0,-1",2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,-4.0
"170,0,2,-1",3.0,3.0,3.0,3.0,3.0,8.0,8.0,8.0,5.0
"49,0,2,10",4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0
"49,0,0,10",7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,4.0
"34,0,2,-1",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0
"328,0,0,-1",-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0
"293,0,0,10",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"8,0,0,10",6.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0
"5,0,0,10",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"17,0,0,10",3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0
"29,0,0,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"13,0,0,10",4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
"185,0,0,10",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"205,0,1,10",-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
"293,0,0,-1",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.0
"53,0,4,10",9.0,9.0,3.0,9.0,9.0,9.0,3.0,9.0,6.0
"50,0,3,10",9.0,9.0,3.0,9.0,9.0,9.0,3.0,9.0,6.0
"37,0,1,10",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"50,0,1,10",9.0,9.0,3.0,9.0,9.0,9.0,3.0,9.0,6.0
"37,0,0,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"26,0,0,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"10,0,3,-1",14.0,14.0,3.0,14.0,14.0,14.0,3.0,14.0,8.0
"45,0,1,10",7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0
"106,0,1,10",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"136,0,1,10",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"52,0,0,10",7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0
"32,0,0,10",7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0
"25,0,4,10",7.0,7.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0
"20,0,0,10",1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
"8,0,0,-1",6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,2.0
"116,0,1,10",3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0
"10,0,0,10",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"340,0,1,10",2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0
"221,0,0,-1",3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0
"65,0,0,-1",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
"85,0,0,10",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"68,0,0,10",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
"234,0,4,10",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0
